Word,Clues,Occurrences,Rank
ELATE,2,179,472
OAHU,2,179,472
SARI,2,179,472
SCAR,2,179,472
STAB,2,179,472
TEL,2,179,472
URAL,2,179,472
ALAMO,2,178,482
ASIS,2,178,482
ASSET,2,178,482
EMT,2,178,482
MET,2,178,482
NOSE,2,178,482
SEC,2,178,482
SEN,2,178,482
ADORE,2,177,490
ERN,2,177,490
IDS,2,177,490
MAE,2,177,490
RATE,2,177,490
SAN,2,177,490
ALIEN,2,176,496
ESTEE,2,176,496
MENU,2,176,496
NEAR,2,176,496
SOD,2,176,496
